date,Open,High,Low,Close,Volume
2019-08-20,131.37,132.63,130.53,132.07,583267.0
2019-08-21,132.96,133.96,132.2,132.66,298752.0
2019-08-22,133.42,133.42,130.83,132.58,374686.0
2019-08-23,132.09,132.89,129.01,129.43,479580.0
2019-08-26,130.44,130.74,128.36,129.23,374614.0
2019-08-27,130.42,131.37,129.5016,130.53,379272.0
2019-08-28,129.56,131.17,128.88,130.72,247161.0
2019-08-29,132.09,132.95,131.55,131.98,399988.0
2019-08-30,133.08,134.18,132.65,133.67,426984.0
2019-09-03,132.73,133.73,131.58,132.46,325755.0
2019-09-04,133.93,135.0173,133.19,134.98,255194.0
2019-09-05,136.48,137.71,135.96,136.8,291235.0
2019-09-06,137.15,138.065,136.59,137.19,241612.0
2019-09-09,138.22,138.23,136.22,136.92,590539.0
2019-09-10,136.13,136.57,133.79,134.64,493668.0
2019-09-11,134.06,136.81,132.91,136.77,299434.0
2019-09-12,137.97,139.2425,137.32,137.33,438623.0
2019-09-13,137.49,138.44,136.685,137.1,404308.0
2019-09-16,136.41,139.39,136.035,138.67,640470.0
2019-09-17,138.93,139.42,137.355,139.33,416485.0
2019-09-18,139.96,139.96,137.96,139.17,521747.0
2019-09-19,139.07,140.23,138.665,140.13,514963.0
2019-09-20,141.01,143.76,140.41,143.64,1421040.0
2019-09-23,142.83,143.46,142.07,142.64,1125145.0
2019-09-24,143.43,143.485,141.88,143.28,855323.0
2019-09-25,143.0,143.88,141.42,143.49,760067.0
2019-09-26,143.93,144.495,141.8,143.89,579647.0
2019-09-27,144.46,144.46,140.57,142.1,819673.0
2019-09-30,142.72,143.3,141.63,142.99,805216.0
2019-10-01,143.22,144.44,140.71,140.86,600153.0
2019-10-02,139.75,139.97,137.97,138.77,835841.0
2019-10-03,138.84,140.74,136.7,140.63,476588.0
2019-10-04,141.16,143.53,141.16,143.25,257312.0
2019-10-07,142.33,143.74,141.8,142.57,380918.0
2019-10-08,141.54,142.57,140.35,140.59,408678.0
2019-10-09,141.68,142.39,141.185,141.83,232057.0
2019-10-10,141.97,143.58,141.97,143.11,248958.0
2019-10-11,144.99,146.32,144.46,145.15,273406.0
2019-10-14,144.71,145.015,143.48,143.97,453956.0
2019-10-15,143.97,145.89,143.82,145.75,317967.0
2019-10-16,145.89,146.12,144.59,145.68,456297.0
2019-10-17,146.0,146.0,143.78,144.77,385794.0
2019-10-18,144.7,145.05,143.13,144.51,394349.0
2019-10-21,145.43,145.68,144.54,145.07,806641.0
2019-10-22,145.15,146.71,142.95,142.98,496562.0
2019-10-23,142.8,143.715,141.98,142.84,526733.0
2019-10-24,143.47,144.675,143.0,144.43,1302642.0
2019-10-25,144.21,146.75,144.08,146.04,744610.0
2019-10-28,146.95,148.0,145.38,146.1,260025.0
2019-10-29,145.85,146.77,144.66,145.11,466162.0
2019-10-30,145.86,146.77,145.01,146.67,476346.0
2019-10-31,149.08,154.52,146.67,154.08,632933.0
2019-11-01,153.75,156.33,153.52,156.09,613198.0
2019-11-04,156.93,158.3,156.235,157.92,585997.0
2019-11-05,157.68,158.27,156.69,157.73,471834.0
2019-11-06,157.33,159.37,156.075,158.42,535715.0
2019-11-07,158.82,160.46,158.82,160.0,397962.0
2019-11-08,159.69,160.79,159.55,160.36,340134.0
2019-11-11,159.09,160.6,158.93,160.53,682402.0
2019-11-12,160.56,161.62,160.13,160.62,555522.0
2019-11-13,160.05,161.02,159.73,160.52,324134.0
2019-11-14,160.06,160.06,156.47,158.56,495925.0
2019-11-15,159.31,160.2,158.0,159.94,258252.0
2019-11-18,159.6,160.72,159.27,159.95,314460.0
2019-11-19,160.68,161.44,159.7,160.25,395461.0
2019-11-20,159.17,160.3,157.36,157.95,786400.0
2019-11-21,157.73,158.38,155.81,158.06,580060.0
2019-11-22,158.32,158.57,156.85,157.0,436404.0
2019-11-25,157.8,160.18,157.1,160.14,665702.0
2019-11-26,161.0,162.73,159.73,162.2,447171.0
2019-11-27,162.12,162.61,160.095,160.69,274473.0
2019-11-29,160.65,161.21,159.68,160.46,153323.0
2019-12-02,160.14,160.6,157.51,157.62,436085.0
2019-12-03,155.48,157.8,155.43,157.65,471817.0
2019-12-04,157.66,159.95,157.65,157.73,324995.0
2019-12-05,158.09,159.0,157.79,158.47,355896.0
2019-12-06,159.5,160.07,159.12,159.68,287161.0
2019-12-09,159.73,160.1,157.49,157.56,312807.0
2019-12-10,157.76,158.43,156.57,156.69,263448.0
2019-12-11,157.15,157.15,155.22,156.98,456876.0
2019-12-12,156.93,159.505,156.55,157.41,456340.0
2019-12-13,156.92,158.78,156.44,157.67,344912.0
2019-12-16,158.35,159.14,157.525,157.94,345726.0
2019-12-17,156.01,156.7,153.24,153.49,805182.0
2019-12-18,154.11,154.2,151.7,152.0,1355526.0
2019-12-19,152.15,154.46,151.88,154.23,571585.0
2019-12-20,155.02,155.99,152.85,153.05,1335479.0
2019-12-23,154.08,154.31,152.9,153.47,822650.0
2019-12-24,154.08,154.2,152.84,153.6,205608.0
2019-12-26,153.67,154.58,153.21,154.03,216375.0
2019-12-27,154.5,154.61,153.39,153.82,369680.0
2019-12-30,153.81,153.99,152.01,152.77,337321.0
2019-12-31,152.5,154.69,152.5,154.1,563854.0
2020-01-02,154.48,156.04,154.48,156.04,769087.0
2020-01-03,153.7,156.5,153.24,155.98,447882.0
2020-01-06,155.33,158.89,155.24,158.86,473015.0
2020-01-07,158.28,158.91,156.46,156.58,477271.0
2020-01-08,156.61,159.13,156.3,158.65,556100.0
2020-01-09,159.56,161.24,158.8,161.16,382016.0
2020-01-10,161.15,161.7619,158.9,159.39,335736.0
2020-01-13,159.48,161.27,157.6,160.93,330503.0
2020-01-14,160.81,162.08,158.73,158.87,257667.0
2020-01-15,159.88,161.14,158.71,158.85,438186.0
2020-01-16,159.71,160.92,159.22,160.92,631793.0
2020-01-17,161.21,162.54,160.69,161.17,369168.0
2020-01-21,160.25,162.76,160.25,161.23,413177.0
2020-01-22,162.1,162.99,160.77,160.93,474679.0
2020-01-23,161.02,161.58,159.74,161.27,185984.0
2020-01-24,162.23,162.72,160.2103,160.57,217379.0
2020-01-27,157.85,160.5273,156.01,159.63,310511.0
2020-01-28,161.04,162.24,160.29,161.55,404900.0
2020-01-29,162.22,163.61,161.56,162.14,240525.0
2020-01-30,161.29,163.54,160.47,163.25,250494.0
2020-01-31,162.86,162.86,159.72,160.78,386361.0
2020-02-03,162.06,165.265,162.06,163.85,623284.0
2020-02-04,155.52,159.64,153.55,154.0,2092695.0
2020-02-05,154.0,155.68,153.8,154.31,1664717.0
2020-02-06,155.06,156.27,153.71,154.29,794693.0
2020-02-07,154.19,154.66,151.65,152.58,565107.0
2020-02-10,152.31,152.71,148.25,149.17,1715271.0
2020-02-11,149.61,152.67,149.4,152.08,1023461.0
2020-02-12,153.33,154.065,151.5,151.55,1430384.0
2020-02-13,150.97,152.67,150.69,150.88,699822.0
2020-02-14,151.41,152.55,151.28,152.41,475731.0
2020-02-18,152.53,153.35,151.72,152.66,594544.0
2020-02-19,153.2,154.89,152.96,153.7,411602.0
2020-02-20,153.89,155.885,153.28,154.95,500162.0
2020-02-21,154.2,155.57,153.26,155.46,466560.0
2020-02-24,150.02,153.45,149.15,149.18,629894.0
2020-02-25,149.5,150.49,140.615,141.1,731243.0
2020-02-26,141.62,143.08,138.09,138.64,732313.0
2020-02-27,136.08,138.17,131.11,131.29,979414.0
2020-02-28,128.38,131.5278,126.9,129.39,1424150.0
2020-03-02,130.23,131.63,126.12,129.8,2230982.0
2020-03-03,130.41,132.91,125.49,125.84,1429814.0
2020-03-04,127.28,127.61,124.06,126.02,1938323.0
2020-03-05,123.39,126.49,123.01,125.58,1887107.0
2020-03-06,122.09,123.27,117.3,120.16,1125872.0
2020-03-09,113.5,114.38,109.9875,110.12,1932363.0
2020-03-10,110.4,114.185,107.41,114.11,1808289.0
2020-03-11,111.18,112.28,106.0,107.18,1751962.0
2020-03-12,99.06,103.5,96.27,102.34,2323717.0
2020-03-13,106.56,108.18,98.705,106.31,1578059.0
2020-03-16,91.23,103.55,90.95,92.75,1447301.0
2020-03-17,94.86,97.3012,82.86,90.01,1277139.0
2020-03-18,84.12,90.2395,76.91,83.38,1332849.0
2020-03-19,83.0,94.0,82.63,92.95,1010982.0
2020-03-20,94.38,94.38,82.38,83.24,1417052.0
2020-03-23,83.11,85.9899,77.28,85.02,1139785.0
2020-03-24,88.88,93.03,87.63,91.66,821532.0
2020-03-25,90.79,94.97,84.815,90.31,1763020.0
2020-03-26,90.68,105.6,88.82,105.12,2848054.0
2020-03-27,101.46,108.2488,100.84,104.79,1725587.0
2020-03-30,104.79,109.35,102.139,107.81,1255903.0
2020-03-31,107.0,109.155,99.04,99.57,1763599.0
2020-04-01,95.52,96.21,92.49,93.29,781099.0
2020-04-02,91.88,94.92,90.18,94.1,1204463.0
2020-04-03,93.79,94.2934,88.81,91.82,806288.0
2020-04-06,95.78,100.94,95.24,99.86,1222315.0
2020-04-07,104.0,105.43,100.77,101.16,958280.0
2020-04-08,102.44,106.83,102.195,104.97,566006.0
2020-04-09,105.87,108.4,104.8,106.89,643430.0
2020-04-13,106.15,106.72,102.8741,105.78,339821.0
2020-04-14,108.03,108.7,105.68,105.97,595762.0
2020-04-15,103.62,104.51,100.845,102.6,408091.0
2020-04-16,103.14,103.17,97.56,99.11,451705.0
2020-04-17,101.81,106.81,101.01,105.96,534334.0
2020-04-20,104.77,106.24,103.25,104.17,404813.0
2020-04-21,101.63,103.35,101.08,101.58,1142556.0
2020-04-22,104.05,105.77,102.19,105.26,355568.0
2020-04-23,106.13,109.115,105.04,107.58,392570.0
2020-04-24,108.14,110.88,107.29,109.76,827921.0
2020-04-27,110.99,114.46,110.35,113.95,449291.0
2020-04-28,116.07,117.97,112.99,114.75,623072.0
2020-04-29,117.62,121.7,116.91,121.26,603299.0
2020-04-30,119.21,120.13,117.9,118.81,663882.0
2020-05-01,117.1,117.52,114.01,114.92,656610.0
2020-05-04,113.91,116.42,112.11,116.3,442625.0
2020-05-05,117.99,119.32,115.71,115.99,464142.0
